Iterations,Ln(change)
1160,-9.54942317100914
1161,-9.556371515952204
1162,-9.563318263877315
1163,-9.570263417795827
1164,-9.577206980929569
1165,-9.58414895602252
1166,-9.591089345769142
1167,-9.598028153259545
1168,-9.60496538147894
1169,-9.611901033688493
1170,-9.61883511215531
1171,-9.62576762016399
1172,-9.632698560735813
1173,-9.639627936653184
1174,-9.64655575065466
1175,-9.653482006151208
1176,-9.66040670558873
1177,-9.667329852306656
1178,-9.674251448922602
1179,-9.681171498592425
1180,-9.688090003970347
1181,-9.695006968105682
1182,-9.701922394282995
1183,-9.70883628479724
1184,-9.715748643151661
1185,-9.722659471741174
1186,-9.729568773847994
1187,-9.736476552521468
1188,-9.743382810036168
1189,-9.750287549849126
1190,-9.757190774746132
1191,-9.76409248772936
1192,-9.770992691785356
1193,-9.777891389406449
1194,-9.78478858380116
1195,-9.791684277984208
1196,-9.798578474659104
1197,-9.805471176724298
1198,-9.812362387436904
1199,-9.819252109388202
1200,-9.826140345459898
1201,-9.833027098591499
1202,-9.839912371850577
1203,-9.846796167858827
1204,-9.853678489924615
1205,-9.860559340576803
1206,-9.867438722973963
1207,-9.874316639670482
1208,-9.881193094005482
1209,-9.888068088658263
1210,-9.894941626221835
1211,-9.901813710250831
1212,-9.908684343095416
1213,-9.915553527871289
1214,-9.92242126730347
1215,-9.929287564209098
1216,-9.936152422193372
1217,-9.943015843108062
1218,-9.949877830756595
1219,-9.95673838718935
1220,-9.963597515747775
1221,-9.970455219608274
1222,-9.977311500699098
1223,-9.984166362817627
1224,-9.99101980838098
1225,-9.997871840483102
1226,-10.004722461892936
1227,-10.011571675262731
1228,-10.018419483686625
1229,-10.025265890162684
1230,-10.032110897201816
1231,-10.038954507791264
1232,-10.045796724843111
1233,-10.052637551551692
1234,-10.059476990085516
1235,-10.066315043823534
1236,-10.073151715303723
1237,-10.07998700745219
1238,-10.086820923356628
1239,-10.09365346520996
1240,-10.100484636709417
1241,-10.107314440392011
1242,-10.114142878584664
1243,-10.120969954399962
1244,-10.127795671372628
1245,-10.134620031434146
1246,-10.14144303805067
1247,-10.148264692913864
1248,-10.15508500028803
1249,-10.16190396213669
1250,-10.168721581746505
1251,-10.175537861378068
1252,-10.182352804463495
1253,-10.18916641348525
1254,-10.195978691015858
1255,-10.202789640318864
1256,-10.209599263804774
1257,-10.216407564742013
1258,-10.223214545371912
1259,-10.23002020895494
1260,-10.23682455786847
1261,-10.243627595521433
1262,-10.25042932407283
1263,-10.257229746892135
1264,-10.26402886617459
1265,-10.270826685039678
1266,-10.277623206038244
1267,-10.28441843196399
1268,-10.291212366443522
1269,-10.298005010673013
1270,-10.30479636900634
1271,-10.311586443010379
1272,-10.31837523633684
1273,-10.325162751039809
1274,-10.331948990184603
1275,-10.338733956755716
1276,-10.34551765302569
1277,-10.352300082103662
1278,-10.359081246555421
1279,-10.365861149016908
1280,-10.372639792930919
1281,-10.379417180195816
1282,-10.386193314079122
1283,-10.39296819682275
1284,-10.399741831433426
1285,-10.40651422069202
1286,-10.413285367491827
1287,-10.420055273925453
1288,-10.426823943396151
1289,-10.433591378601715
1290,-10.440357581824657
1291,-10.447122556167965
1292,-10.453886303434281
1293,-10.460648827686159
1294,-10.467410130360875
1295,-10.474170215534013
1296,-10.480929084612136
1297,-10.487686741100589
1298,-10.494438181226993
1299,-10.501164259978648
1300,-10.507844224559742
1301,-10.514465065723689
1302,-10.521012982959427
1303,-10.527411609574441
1304,-10.533724445558674
1305,-10.540037256190102
1306,-10.546350043303418
1307,-10.552662806084905
1308,-10.558975544435365
1309,-10.565288258477105
1310,-10.57160094894056
1311,-10.577913615318689
1312,-10.58422625740942
1313,-10.590538875562443
1314,-10.596851470750925
1315,-10.603164041299896
1316,-10.609476588850963
1317,-10.615789113122945
1318,-10.622101612853678
1319,-10.628414089937399
1320,-10.634726543591452
1321,-10.64103897394902
1322,-10.647351380835454
1323,-10.653663764307726
1324,-10.659976125500837
1325,-10.66628846342834
1326,-10.672600778603421
1327,-10.678913070496913
1328,-10.685225340366383
1329,-10.691537586011965
1330,-10.697849809970474
1331,-10.704162011583273
1332,-10.710474189770114
1333,-10.716786346516324
1334,-10.723098480169245
1335,-10.729410591598114
1336,-10.735722681421638
1337,-10.742034748731172
1338,-10.74834679332408
1339,-10.7546588165406
1340,-10.760970817361263
1341,-10.76728279661158
1342,-10.773594753385021
1343,-10.779906689458295
1344,-10.786218603520773
1345,-10.792530494776898
1346,-10.798842365377297
1347,-10.805154214109827
1348,-10.811466042288147
1349,-10.817777847104662
1350,-10.824089632221357
1351,-10.830401396245389
1352,-10.83671313788145
1353,-10.843024859064325
1354,-10.849336559145094
1355,-10.855648237962958
1356,-10.861959896093905
1357,-10.868271533389665
1358,-10.874583149052787
1359,-10.880894745353041
1360,-10.887206320051195
1361,-10.893517873989932
1362,-10.899829407639983
1363,-10.90614092082057
1364,-10.912452413530145
1365,-10.918763885549644
1366,-10.925075337035983
1367,-10.931386769259278
1368,-10.937698180671061
1369,-10.944009572357464
1370,-10.950320942866263
1371,-10.956632294627513
1372,-10.962943625255976
1373,-10.969254936573174
1374,-10.97556622879253
1375,-10.981877500026657
1376,-10.988188752083508
1377,-10.994499984875299
1378,-11.000811197295556
1379,-11.00712238934583
1380,-11.013433563649926
1381,-11.019744717838256
1382,-11.02605585236805
1383,-11.032366968214188
1384,-11.038678064418852
1385,-11.044989141159121
1386,-11.05130019933224
1387,-11.057611239022497
1388,-11.063922257937842
1389,-11.07023325899738
1390,-11.07654424134102
1391,-11.08285520432198
1392,-11.089166148938954
1393,-11.09547707369869
1394,-11.101787980977184
1395,-11.10809886862281
1396,-11.114409739025035
1397,-11.120720590349725
1398,-11.127031423530694
1399,-11.133342237277798
1400,-11.139653032689155
1401,-11.145963811705553
1402,-11.152274570523629
1403,-11.158585311874413
1404,-11.164896035089514
1405,-11.171206740683845
1406,-11.177517427215625
1407,-11.183828096514647
1408,-11.190138747557684
1409,-11.196449381322557
1410,-11.202759996009675
1411,-11.209070594624524
1412,-11.215381175622092
